,x,a1,a2
0,-1.0,0.0,0.0
1,-0.98,0.022743190846879976,-0.09135412626125972
2,-0.96,0.028254864817266596,-0.15398763987206912
3,-0.94,0.03478680740628747,-0.21023918908131523
4,-0.92,0.03908448057279502,-0.2551775849635843
5,-0.9,0.04208830216484253,-0.28670376641769213
6,-0.88,0.04410147714468027,-0.3020839753942648
7,-0.86,0.04544734692164734,-0.30905915662952343
8,-0.84,0.047996227796522004,-0.3153640682080072
9,-0.8200000000000001,0.05035525465464711,-0.3197923617591155
10,-0.8,0.050381578110835684,-0.3231471624602393
11,-0.78,0.05247802196728818,-0.32501748198313996
12,-0.76,0.05275037376014715,-0.32671585414651294
13,-0.74,0.05399537328098552,-0.3283081420253261
14,-0.72,0.053147078520344566,-0.32990042990413937
15,-0.7,0.05535155062355439,-0.33149271778295253
16,-0.6799999999999999,0.06827864533843221,-0.33308500566176563
17,-0.6599999999999999,0.10847008761534813,-0.33467729354057885
18,-0.64,0.14866019502446343,-0.336269581419392
19,-0.62,0.18077251667567862,-0.33786186929820516
20,-0.6,0.20129272407273294,-0.33945415717701843
21,-0.5800000000000001,0.2161036723540799,-0.34104644505583154
22,-0.56,0.22317208261949517,-0.34253264865008487
23,-0.54,0.22667911359683907,-0.3441249365288981
24,-0.52,0.22986980935995638,-0.3457156790069492
25,-0.5,0.23070963956857599,-0.34730796688576243
26,-0.48,0.231997424229075,-0.3487518304477346
27,-0.45999999999999996,0.23512088930186809,-0.35022279402870676
28,-0.43999999999999995,0.2411761882562511,-0.35181508190752
29,-0.42000000000000004,0.2530710135091244,-0.35332946423729056
30,-0.4,0.2839303938465994,-0.35465878565756714
31,-0.38,0.32624306586027163,-0.35625107353638036
32,-0.36,0.36090901702517403,-0.3578433614151935
33,-0.33999999999999997,0.38290472152481814,-0.3594243810488593
34,-0.31999999999999995,0.3938210537614554,-0.3610279371728199
35,-0.29999999999999993,0.4008855964416459,-0.36262022505163305
36,-0.28,0.4050360736746189,-0.3642125129304462
37,-0.26,0.4092447105361888,-0.36577730992293433
38,-0.24,0.411129907621077,-0.36739708868807264
39,-0.21999999999999997,0.41416184819511187,-0.3689893765668858
40,-0.19999999999999996,0.4166449849262465,-0.37058166444569896
41,-0.17999999999999994,0.41598791551455166,-0.3725148243320913
42,-0.16000000000000003,0.4183545290144427,-0.37410711221090454
43,-0.14,0.4172091611324038,-0.3756994000897177
44,-0.12,0.41830440212368686,-0.37755804408567767
45,-0.09999999999999998,0.41856435122712876,-0.3791537438344104
46,-0.07999999999999996,0.41716988217907064,-0.3807461125443085
47,-0.05999999999999994,0.4183134191380701,-0.3823383002196525
48,-0.040000000000000036,0.41728811717173503,-0.38393213349922756
49,-0.020000000000000018,0.41711296192862113,-0.38552442137804077
50,0.0,0.4159104994181896,-0.387115163856092
51,0.020000000000000018,0.41430456302406354,-0.38870899713566714
52,0.040000000000000036,0.41281199884943265,-0.39029973961371833
53,0.06000000000000005,0.41118925600741674,-0.3918935728932935
54,0.08000000000000007,0.4086939838882458,-0.39348431537134476
55,0.10000000000000009,0.4020252363870904,-0.395077430933392
56,0.1200000000000001,0.39181531186180724,-0.3966704365297331
57,0.14000000000000012,0.3767692948017942,-0.398261735076524
58,0.15999999999999992,0.35023302147264235,-0.3998534668865975
59,0.17999999999999994,0.30888723947922436,-0.4014473001661726
60,0.19999999999999996,0.2545404989436765,-0.40303958804498585
61,0.21999999999999997,0.23135775943904185,-0.40463056328740793
62,0.24,0.22607090311623712,-0.40622416380261217
63,0.26,0.22107564331617213,-0.4075451576659813
64,0.28,0.22204641558951776,-0.40879741357997124
65,0.30000000000000004,0.2221489277685952,-0.41007273053844806
66,0.32000000000000006,0.22100564767728526,-0.4105183572281993
67,0.3400000000000001,0.2194164721378586,-0.40975399425270786
68,0.3600000000000001,0.21529740902463684,-0.4110211475303145
69,0.3800000000000001,0.20248218996694578,-0.41253584508071844
70,0.40000000000000013,0.1771648193232226,-0.4137958185370291
71,0.41999999999999993,0.13515875662052082,-0.4136097549080986
72,0.43999999999999995,0.08078848655049943,-0.4126078282572302
73,0.45999999999999996,0.049867401088963134,-0.414065417901847
74,0.48,0.040603160544006055,-0.4137978031976725
75,0.5,0.037590487443780296,-0.412741080583583
76,0.52,0.03560745669196238,-0.4128127622078372
77,0.54,0.03407093135063273,-0.4110879070501971
78,0.56,0.032975702684015465,-0.4090378426308332
79,0.5800000000000001,0.031483130602209294,-0.407640591504615
80,0.6000000000000001,0.034065346791659415,-0.40519499000740655
81,0.6200000000000001,0.03295842383914131,-0.40170183420386507
82,0.6400000000000001,0.035343292398789666,-0.3975338159817165
83,0.6600000000000001,0.03476193114418497,-0.39139442438646793
84,0.6799999999999999,0.03744440276025256,-0.3850754189833
85,0.7,0.03714365609121273,-0.3774481918217427
86,0.72,0.0396458763518973,-0.3677086050987277
87,0.74,0.03909022830130686,-0.3564094259747621
88,0.76,0.040749668216396515,-0.3420995722128819
89,0.78,0.03960601247958939,-0.3247011791877242
90,0.8,0.04077058791280151,-0.30353229667713716
91,0.8200000000000001,0.04111947281429488,-0.2796936236358562
92,0.8400000000000001,0.04232039463131307,-0.25185362859946386
93,0.8600000000000001,0.042675747869059824,-0.22214133200138791
94,0.8800000000000001,0.043782182508100245,-0.19477036189018354
95,0.9000000000000001,0.04461008694862306,-0.16632776430245805
96,0.9199999999999999,0.046204067166367435,-0.1388691435756283
97,0.94,0.04641814010422323,-0.11182403026929676
98,0.96,0.04485219717567821,-0.08522393018353353
99,0.98,0.04200207920779078,-0.054011688250749985
